Product ID,Product Category,Product Category,Product Subcategory,Product Name,Product Name,Product Description, Product Price ,Product Weight,Product Size,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity, Order Total ,Payment Method
1042,Mountain Bikes,Mountain Bikes,Fat Bikes,FatTrail 2000,FatTrail 2000,High-performance fat bike," $1,600.00 ",29.00,L,L,2042,3042,3/12/2023,Processing,1," $1,600.00 ",PayPal
1043,Road Bikes,Road Bikes,Cyclocross,CrossRider 1000,CrossRider 1000,Versatile cyclocross bike," $1,900.00 ",21.00,M,M,2043,3043,3/13/2023,Cancelled,3," $5,700.00 ",Credit Card
1044,Road Bikes,Road Bikes,Cyclocross,CrossRider 2000,CrossRider 2000,Advanced cyclocross bike," $2,200.00 ",19.00,L,L,2044,3044,3/14/2023,Shipped,1," $2,200.00 ",Credit Card
1045,Touring Bikes,Touring Bikes,Tandem,DuoExplorer 1000,DuoExplorer 1000,Comfortable tandem touring bike," $2,000.00 ",36.00,M,M,2045,3045,3/15/2023,Processing,2," $4,000.00 ",PayPal
1046,Touring Bikes,Touring Bikes,Tandem,DuoExplorer 2000,DuoExplorer 2000,High-performance tandem touring bike," $2,300.00 ",34.00,L,L,2046,3046,3/16/2023,Shipped,1," $2,300.00 ",Credit Card
1047,Mountain Bikes,Mountain Bikes,Electric,E-Mountain 1000,E-Mountain 1000,Electric mountain bike," $3,000.00 ",40.00,M,M,2047,3047,3/17/2023,Shipped,2," $6,000.00 ",PayPal
1048,Mountain Bikes,Mountain Bikes,Electric,E-Mountain 2000,E-Mountain 2000,High-performance electric mountain bike," $3,500.00 ",38.00,L,L,2048,3048,3/18/2023,Processing,1," $3,500.00 ",Credit Card
1061,E-Bikes,E-Bikes,City,UrbanEco 1000,UrbanEco 1000,Eco-friendly electric city bike," $2,000.00 ",35.00,s,S,2061,3061,3/1/2023,Shipped,2," $4,000.00 ",Credit Card
1062,E-Bikes,E-Bikes,City,UrbanEco 2000,UrbanEco 2000,High-performance electric city bike," $2,500.00 ",33.00,L,L,2062,3062,3/2/2023,Processing,1," $2,500.00 ",PayPal
1063,ROAD BIKES,Road Bikes,Gravel,GravelMaster 1000,GravelMaster 1000,All-terrain gravel bike," $1,700.00 ",22.00,M,M,2063,3063,3/3/2023,Cancelled,3," $5,100.00 ",Credit Card
1064,Road Bikes,Road Bikes,Gravel,GravelMaster 2000,GravelMaster 2000,High-performance gravel bike," $2,100.00 ",20.00,L,L,2064,3064,3/4/2023,Shipped,1," $2,100.00 ",Credit Card
1065,Touring Bikes,Touring Bikes,Folding,FoldAway 1000,FoldAway 1000,Compact folding touring bike," $1,500.00 ",30.00,M,M,2065,3065,3/5/2023,Processing,2," $3,000.00 ",PayPal
1066,Touring Bikes,Touring Bikes,Folding,FoldAway 2000,FoldAway 2000,Advanced folding touring bike," $1,800.00 ",28.00,L,L,2066,3066,3/6/2023,Shipped,1," $1,800.00 ",Credit Card
1067,E-Bikes,E-Bikes,Mountain,E-TrailBlazer 1000,E-TrailBlazer 1000,Electric mountain bike," $3,200.00 ",42.00,M,M,2067,3067,3/7/2023,Shipped,2," $6,400.00 ",PayPal
1068,E-Bikes,E-Bikes,Mountain,E-TrailBlazer 2000,E-TrailBlazer 2000,High-performance electric mountain bike," $3,700.00 ",40.00,L,L,2068,3068,3/8/2023,Processing,1," $3,700.00 ",Credit Card
1081,Hybrid Bikes,Hybrid Bikes,Commuter,CommutePro 1000,CommutePro 1000,Efficient commuter hybrid bike," $1,200.00 ",27.00,M,M,2081,3081,2/19/2023,Shipped,2," $2,400.00 ",Credit Card
1082,Hybrid Bikes,Hybrid Bikes,Commuter,CommutePro 2000,CommutePro 2000,High-performance commuter hybrid bike," $1,500.00 ",25.00,L,L,2082,3082,2/20/2023,Processing,1," $1,500.00 ",PayPal
1083,Road Bikes,Road Bikes,Aero,AeroSpeed 1000,AeroSpeed 1000,Aerodynamic road bike," $2,800.00 ",18.00,M,M,2083,3083,2/21/2023,Cancelled,3," $8,400.00 ",Credit Card
1084,Road Bikes,Road Bikes,Aero,AeroSpeed 2000,AeroSpeed 2000,Advanced aerodynamic road bike," $3,200.00 ",16.00,L,L,2084,3084,2/22/2023,Shipped,1," $3,200.00 ",Credit Card
1085,Touring Bikes,Touring Bikes,Recumbent,ReclineRider 1000,ReclineRider 1000,Comfortable recumbent touring bike," $2,000.00 ",33.00,M,M,2085,3085,2/23/2023,Processing,2," $4,000.00 ",PayPal
1086,Touring Bikes,Touring Bikes,Recumbent,ReclineRider 2000,ReclineRider 2000,High-performance recumbent touring bike," $2,400.00 ",30.00,L,L,2086,3086,2/24/2023,Shipped,1," $2,400.00 ",Credit Card
1087,Mountain Bikes,Mountain Bikes,Downhill,DownhillDominator 1000,DownhillDominator 1000,Downhill mountain bike," $2,900.00 ",34.00,M,M,2087,3087,2/25/2023,Shipped,2," $5,800.00 ",PayPal
1088,Mountain Bikes,Mountain Bikes,Downhill,DownhillDominator 2000,DownhillDominator 2000,High-performance downhill mountain bike," $3,300.00 ",32.00,L,L,2088,3088,2/26/2023,Processing,1," $3,300.00 ",PayPal
1101,Kids Bikes,Kids Bikes,Balance,LittleBalancer 1000,LittleBalancer 1000,Starter balance bike for kids, $150.00 ,10.00,M,M,2101,3101,2/1/2023,Shipped,2, $300.00 ,Credit Card
1102,Kids Bikes,Kids Bikes,Balance,LittleBalancer 2000,LittleBalancer 2000,Upgraded balance bike for kids, $200.00 ,9.00,L,L,2102,3102,2/2/2023,Processing,1, $200.00 ,PayPal
1103,BMX Bikes,Bmx Bikes,Freestyle,FreestyleMaster 1000,FreestyleMaster 1000,Beginner freestyle BMX bike, $400.00 ,25.00,M,M,2103,3103,2/3/2023,Cancelled,3," $1,200.00 ",Credit Card
1104,BMX Bikes,Bmx Bikes,Freestyle,FreestyleMaster 2000,FreestyleMaster 2000,Advanced freestyle BMX bike, $600.00 ,23.00,L,L,2104,3104,2/4/2023,Shipped,1, $600.00 ,Credit Card
1105,Mountain Bikes,Mountain Bikes,Cross Country,XC-Rider 1000,XC-Rider 1000,Cross country mountain bike," $1,800.00 ",29.00,M,M,2105,3105,2/5/2023,Processing,2," $3,600.00 ",PayPal
1106,Mountain Bikes,Mountain Bikes,Cross Country,XC-Rider 2000,XC-Rider 2000,High-performance cross country bike," $2,400.00 ",27.00,L,L,2106,3106,2/6/2023,Shipped,1," $2,400.00 ",Credit Card
1107,ROAD BIKES,Road Bikes,Endurance,EnduranceElite 1000,EnduranceElite 1000,Endurance road bike," $2,100.00 ",20.00,M,M,2107,3107,2/7/2023,Shipped,2," $4,200.00 ",PayPal
1108,Road Bikes,Road Bikes,Endurance,EnduranceElite 2000,EnduranceElite 2000,High-performance endurance road bike," $2,600.00 ",18.00,L,L,2108,3108,2/8/2023,Processing,1," $2,600.00 ",Credit Card
